step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
00920	158928.992141	159192.849698	159785.149992	159034.568840	158955.316564	
00930	158484.288858	158758.597099	159373.630103	158590.319396	158513.307327	
00940	157994.305292	158276.921643	158908.674237	158099.909450	158032.159455	
00950	157446.296386	157749.598966	158391.780118	157561.600348	157505.841526	
00960	156863.406354	157176.347962	157824.400967	156970.410119	156927.960442	
00970	156252.302926	156558.090769	157209.222490	156330.000894	156306.548161	
00980	155553.540446	155895.072445	156543.293222	155643.607617	155639.830500	
00990	154835.421518	155187.661693	155826.480276	154915.026790	154928.091897	
01000	154090.440349	154436.132106	155063.611839	154146.684434	154171.631140	
01010	153254.754118	153639.504417	154259.214566	153334.965501	153361.725688	
01020	152398.066719	152797.851779	153416.873315	152479.627350	152501.157609	
01030	151518.229232	151912.532729	152538.534454	151584.120777	151599.190543	
01040	150558.412549	150984.484403	151621.097782	150647.448778	150653.500154	
01050	149570.269150	150015.100931	150663.375272	149671.655714	149669.947948	
01060	148543.007290	149005.226525	149666.474996	148656.467769	148648.537255	
01070	147480.470859	147955.818932	148630.311724	147603.327271	147590.185135	
01080	146381.689496	146868.910326	147552.652803	146514.604808	146495.282391	
01090	145253.217786	145746.887001	146430.763627	145393.282875	145366.234819	
01100	144091.309551	144591.496979	145257.445452	144238.566194	144201.689303	
01110	142882.704943	143402.053584	144044.017207	143046.570677	142998.062132	
01120	141659.475309	142177.110465	142809.159386	141818.651770	141760.248811	
01130	140391.290761	140916.475420	141547.384608	140554.009106	140487.116896	
01140	139085.489102	139620.651555	140253.150882	139254.825658	139181.902996	
01150	137752.686734	138290.681734	138940.640681	137924.824722	137849.782194	
01160	136395.032942	136930.586189	137599.308331	136570.747938	136496.756950	
01170	135012.188394	135545.352045	136212.346673	135193.710166	135122.440857	
01180	133588.044583	134136.968973	134785.559394	133794.028649	133726.393628	
01190	132182.115068	132709.097980	133310.013517	132375.650695	132312.932015	
01200	130720.534394	131257.747586	131812.606824	130921.274027	130860.573203	
01210	129228.229911	129771.869515	130330.129582	129424.395561	129365.413629	
01220	127721.973602	128252.888934	128845.522209	127906.850789	127852.010863	
01230	126197.222667	126712.055934	127337.052144	126375.469176	126325.675700	
01240	124642.179426	125152.364688	125804.456352	124825.179487	124778.478222	
01250	123070.535414	123575.407675	124243.176551	123258.940752	123212.674092	
01260	121482.412009	121986.822364	122640.208226	121685.590339	121637.509030	
01270	119898.140823	120390.198994	120998.285649	120105.082439	120055.228636	
01280	118296.422120	118781.187411	119336.726611	118503.918623	118452.090788	
01290	116655.768091	117153.576705	117676.423201	116877.564268	116823.512100	
01300	115019.068487	115505.105814	116025.674213	115229.833873	115175.082686	
01310	113356.840012	113837.992871	114382.460899	113565.691927	113511.330101	
01320	111681.716582	112156.588074	112739.995231	111890.794625	111837.383293	
01330	110010.865103	110466.047635	111090.118844	110213.729226	110163.241432	
01340	108334.184391	108770.097678	109424.440417	108532.923277	108485.813959	
01350	106653.027810	107071.112318	107741.913835	106848.864992	106804.933266	
01360	104957.937588	105370.532124	106043.983373	105162.126359	105120.395106	
01370	103272.618870	103669.047802	104334.287894	103472.164141	103432.011542	
01380	101575.164743	101966.704073	102620.115246	101778.360814	101737.642699	
01390	99885.250210	100263.052430	100909.718562	100084.839401	100043.714226	
01400	98200.571374	98557.777968	99204.555279	98389.223330	98347.428159	
01410	96505.610227	96852.130223	97506.024594	96693.852706	96650.901175	
01420	94812.715212	95148.233614	95812.736478	95001.349683	94957.120603	
01430	93122.891299	93448.612157	94123.112943	93313.561180	93268.009516	
01440	91431.534544	91755.814671	92436.667721	91632.475593	91584.108532	
01450	89760.248884	90071.666834	90755.581645	89963.283524	89912.693654	
01460	88096.881444	88396.805450	89079.069103	88302.424249	88249.330320	
01470	86441.995992	86731.977770	87410.044148	86650.143376	86594.557111	
01480	84799.329071	85077.779626	85751.614721	85006.988469	84949.315355	
01490	83169.343501	83435.213905	84106.506641	83373.834999	83314.868030	
01500	81547.619490	81805.393550	82477.212204	81752.353950	81691.738256	
01510	79958.064373	80189.925688	80866.287540	80148.709081	80088.301870	
01520	78380.007425	78589.926299	79271.802655	78560.364327	78500.846637	
01530	76817.337871	77007.028029	77693.080204	76989.087751	76931.095075	
01540	75271.981604	75442.950022	76130.554336	75435.951298	75380.093139	
01550	73745.854178	73899.137146	74585.013341	73901.746703	73848.637458	
01560	72230.493721	72376.698213	73058.590659	72387.018435	72335.702549	
01570	70753.641185	70877.064089	71556.993445	70898.717699	70850.620648	
01580	69297.367645	69400.109551	70077.667522	69431.842924	69386.841749	
01590	67867.273537	67946.930214	68622.969633	67988.334415	67946.661988	
01600	66461.914126	66518.754392	67193.858738	66569.418941	66531.162859	
01610	65082.369316	65116.919401	65791.259499	65175.956086	65141.237765	
01620	63720.254597	63742.898829	64416.911929	63809.444449	63776.937569	
01630	62400.331622	62397.933924	63073.427535	62475.586888	62446.173441	
01640	61111.066291	61082.688882	61758.537661	61171.262585	61144.799065	
01650	59852.019499	59798.364091	60472.975582	59897.573667	59873.851717	
01660	58624.898075	58546.062845	59217.573683	58655.345297	58634.193878	
01670	57429.758104	57326.829120	57993.502890	57445.016543	57426.393056	
01680	56258.127635	56141.717114	56803.196623	56267.650372	56250.152377	
01690	55133.636279	54991.509514	55649.895808	55128.339168	55112.801259	
01700	54043.260769	53876.528725	54532.111935	54023.880293	54010.099452	
01710	52986.712564	52797.631669	53450.867987	52955.101883	52942.910758	
01720	51968.392161	51755.752990	52406.872221	51922.799509	51912.134946	
01730	50984.233078	50751.846695	51400.881963	50927.476601	50918.404260	
01740	50017.713537	49786.776273	50433.925621	49969.718807	49960.704234	
01750	49120.967498	48861.733607	49508.890908	49055.598123	49048.258655	
01760	48258.555903	47977.032942	48622.994463	48181.447215	48175.581141	
01770	47436.461739	47133.352884	47777.515195	47347.668543	47343.282788	
01780	46655.343288	46331.206438	46973.857069	46554.650719	46551.801259	
01790	45915.544143	45571.245523	46212.826048	45802.861343	45801.758042	
01800	45211.142248	44854.412201	45495.348307	45093.540862	45093.286509	
01810	44561.384658	44181.578419	44822.421144	44431.275326	44432.862655	
01820	43956.115134	43553.193710	44191.157043	43813.437123	43816.966819	
01830	43395.470780	42970.067236	43601.699916	43240.400577	43245.893189	
01840	42878.270959	42432.261986	43057.820188	42711.175608	42718.565931	
01850	42404.010776	41939.324229	42563.402212	42225.162189	42234.577045	
01860	41968.500046	41491.768171	42117.998309	41784.381796	41795.070318	
01870	41589.150644	41090.662429	41720.950265	41393.190648	41406.010031	
01880	41255.978138	40736.263031	41370.600443	41048.449806	41063.413000	
01890	40969.352248	40428.952577	41067.590016	40750.534769	40767.652728	
01900	40729.373900	40169.114809	40812.503806	40499.649056	40518.861543	
01910	40535.472917	39956.870573	40606.848288	40295.274427	40316.455593	
01920	40382.352647	39792.160348	40453.028459	40137.459544	40159.546580	
01930	40283.838931	39674.854244	40353.148108	40028.937092	40052.197771	
01940	40233.024028	39604.927075	40304.486674	39968.130959	39992.253757	
01950	40230.899293	39583.238901	40305.182437	39956.128610	39980.933713	
01960	40277.659600	39610.515921	40354.748330	39993.289874	40018.826031	
01970	40373.615539	39687.654604	40452.024109	40080.673768	40107.346908	
01980	40509.157021	39813.939753	40615.756950	40214.065324	40241.319079	
01990	40724.460063	39990.106927	40789.183333	40413.753937	40446.496983	
02000	40990.960057	40241.093748	40934.996397	40683.650668	40714.848962	
02010	41249.889565	40515.924410	41244.254418	40938.199513	40969.654161	
02020	41578.203538	40829.138158	41605.555071	41260.858931	41293.979246	
02030	41958.356776	41191.280100	42013.543762	41635.707077	41670.317032	
02040	42387.810619	41604.406589	42463.300001	42063.251622	42099.271280	
02050	42873.273660	42069.620889	42949.759706	42544.629273	42582.626048	
02060	43408.014773	42586.391746	43474.022340	43076.271034	43115.933254	
02070	43990.896482	43153.333768	44041.697304	43656.695659	43697.519911	
02080	44621.673175	43769.988700	44651.967566	44286.659672	44328.343821	
02090	45298.832381	44436.077597	45302.273008	44965.046743	45007.410808	
02100	46015.686664	45149.224933	45997.862271	45687.196431	45730.040947	
02110	46776.456719	45906.209859	46746.973679	46451.924838	46496.016368	
02120	47581.318689	46705.748071	47551.188902	47259.909973	47306.002076	
02130	48432.211349	47548.229206	48407.321761	48112.491967	48161.057380	
02140	49330.626701	48434.492705	49310.064544	49010.811945	49061.985844	
02150	50275.927535	49365.152670	50256.190993	49954.909673	50008.431717	
02160	51265.383154	50339.842523	51245.558762	50943.674536	50999.031362	
02170	52297.599457	51357.714330	52278.299912	51976.322970	52033.187667	
02180	53371.568569	52418.267206	53352.948999	53052.645086	53111.152427	
02190	54487.237052	53521.266284	54467.581869	54172.333150	54233.454799	
02200	55644.332465	54666.246202	55621.064764	55334.497356	55400.200992	
02210	56842.496292	55852.362302	56813.258281	56537.878692	56610.632183	
02220	58082.180718	57078.445989	58044.731999	57781.027582	57862.605391	
02230	59358.520582	58343.218282	59316.153333	59061.861430	59151.251822	
02240	60671.688829	59645.626851	60628.421056	60380.226548	60473.513736	
