step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
00910	-121.307336	73.268686	25.379349	15.158744	7.500873	
00920	-116.857830	70.571800	24.434580	14.629405	7.222299	
00930	-112.395326	67.870001	23.474436	14.100911	6.950036	
00940	-107.922473	65.176881	22.489258	13.573300	6.682842	
00950	-103.441926	62.499510	21.486632	13.043331	6.414640	
00960	-98.956327	59.832324	20.474155	12.505777	6.142753	
00970	-94.468849	57.176457	19.461096	11.965858	5.872661	
00980	-89.983402	54.529788	18.431741	11.424814	5.599693	
00990	-85.502647	51.891409	17.393078	10.889122	5.327644	
01000	-81.029238	49.258533	16.361894	10.360907	5.055624	
01010	-76.565823	46.621352	15.341182	9.831749	4.773906	
01020	-72.115048	43.979111	14.341343	9.303626	4.489507	
01030	-67.684463	41.338545	13.364005	8.780394	4.208482	
01040	-63.273529	38.703258	12.390496	8.257407	3.925913	
01050	-58.884853	36.079428	11.422002	7.738499	3.648400	
01060	-54.521035	33.468452	10.459800	7.221829	3.374231	
01070	-50.184658	30.872888	9.502844	6.708550	3.103388	
01080	-45.878297	28.302119	8.543584	6.200243	2.835171	
01090	-41.613703	25.767125	7.577957	5.700126	2.571130	
01100	-37.385891	23.272278	6.601117	5.205645	2.309394	
01110	-33.197359	20.804988	5.633025	4.710689	2.046370	
01120	-29.050583	18.350392	4.694358	4.217929	1.786980	
01130	-24.948023	15.903431	3.790426	3.724660	1.528449	
01140	-20.892113	13.464628	2.920776	3.232855	1.272686	
01150	-16.898520	11.038776	2.087406	2.747626	1.023550	
01160	-12.957933	8.649876	1.247075	2.275813	0.784210	
01170	-9.072678	6.323546	0.379348	1.816443	0.552639	
01180	-5.245053	4.063304	-0.515640	1.368130	0.326717	
01190	-1.477326	1.883429	-1.449963	0.934937	0.110820	
01200	2.228262	-0.257750	-2.344162	0.491285	-0.115306	
01210	5.852519	-2.438591	-3.095584	0.033179	-0.350980	
01220	9.408850	-4.641011	-3.779457	-0.411228	-0.576992	
01230	12.895160	-6.790843	-4.475373	-0.837390	-0.792134	
01240	16.309387	-8.877878	-5.175458	-1.253412	-1.003546	
01250	19.649506	-10.900072	-5.883591	-1.656517	-1.209543	
