step	cap_aorta	cap_aorta_2	cap_bct	cap_left_carotid	cap_left_subclavian	
00940	-151440.294434	-140766.614998	-149017.289508	-147227.315840	-147532.494232	
00950	-145268.824940	-140479.326963	-147645.579294	-144523.558171	-146331.750502	
00960	-146844.998209	-140374.706148	-147056.063716	-144646.844060	-146154.377910	
00970	-146862.633330	-139995.769541	-145666.487037	-142471.323193	-145072.513684	
00980	-142253.207757	-139420.504921	-144312.854856	-140999.543327	-143249.822558	
00990	-143656.279647	-138879.807698	-143301.285469	-141165.065583	-142723.236011	
01000	-139686.169699	-138112.726311	-141958.844149	-138610.890888	-140768.814631	
01010	-141576.284787	-137322.023444	-140250.930428	-136709.451985	-139629.718479	
01020	-134740.494113	-136287.303382	-138328.011002	-134359.114938	-137091.094045	
01030	-135547.058083	-135515.986499	-137569.830342	-134891.744988	-136577.350516	
01040	-133478.648047	-134386.275357	-135649.735175	-132483.919656	-134114.924389	
01050	-133924.332560	-133671.716864	-135184.725595	-133366.351349	-134699.923491	
01060	-132676.751343	-132454.060080	-133139.781195	-130711.715613	-132867.490525	
01070	-134660.106727	-131492.484146	-132468.481834	-131966.005826	-132221.213011	
01080	-130852.559178	-130100.049383	-130301.591753	-128850.256317	-129908.451424	
01090	-129969.096429	-128812.945357	-128645.325747	-126315.787981	-128486.793655	
01100	-130261.681368	-127535.175694	-127472.090537	-127174.002427	-127485.995694	
01110	-125653.802716	-126010.241262	-125365.067450	-124143.343478	-125053.633545	
01120	-122351.406669	-124621.322520	-123937.185842	-121615.738524	-123505.700962	
01130	-121953.726518	-123338.274663	-122838.473381	-121485.232750	-122878.649649	
01140	-118031.546779	-121779.328039	-120876.753809	-119605.651584	-121107.913731	
01150	-118786.325665	-120234.549140	-119308.910393	-118858.233283	-119490.680844	
01160	-118999.253902	-118698.609653	-117834.583989	-117475.418745	-117897.078674	
01170	-117565.162009	-117133.550214	-116237.941545	-116076.917153	-116340.211917	
01180	-115999.791002	-115597.965702	-114786.937520	-114596.915564	-114859.495116	
01190	-113593.351109	-114013.870219	-113180.206819	-112681.641615	-113063.787835	
01200	-110073.396522	-112455.386796	-111733.709676	-110411.179947	-111404.212110	
01210	-110470.230320	-111111.470775	-110788.115434	-110279.282869	-110716.262242	
01220	-107152.166571	-109427.837610	-108756.927150	-107448.662264	-108309.485355	
01230	-105218.078509	-107922.978172	-107236.241470	-106154.911288	-106804.797771	
01240	-107470.377232	-106544.125348	-106076.363398	-106056.766610	-106004.529966	
01250	-103868.958841	-105076.336427	-104639.928632	-103847.539365	-104475.132650	
01260	-104046.319780	-103651.283537	-103220.659190	-103029.152880	-102992.329442	
01270	-102619.783672	-102262.134781	-101834.900546	-101824.030883	-101585.191965	
01280	-100068.441486	-100912.547287	-100631.785004	-100125.450852	-100238.656640	
01290	-100089.159712	-99516.762481	-99144.164669	-99147.537997	-98846.461087	
01300	-97897.622891	-98197.375260	-97701.120938	-96773.934571	-97407.929194	
01310	-97986.161323	-96885.654457	-96481.823898	-96619.791474	-96215.269845	
01320	-95591.726646	-95606.291656	-94988.721884	-94418.702721	-94869.972351	
01330	-92467.084604	-94320.486024	-93873.083589	-93121.916162	-93394.705560	
01340	-92521.098204	-93118.256499	-92632.335374	-92094.924866	-92481.640875	
01350	-93665.910079	-91954.637180	-91696.861274	-91535.302263	-91484.557774	
01360	-91791.202539	-90854.032336	-90794.506897	-90708.336331	-90551.211000	
01370	-90782.833965	-89640.062400	-89407.805858	-89308.009084	-89196.109176	
01380	-88829.520175	-88553.601028	-88507.845776	-88134.846465	-88216.580353	
01390	-88507.333925	-87409.866640	-87349.714998	-87199.094450	-87058.263463	
01400	-85427.183489	-86326.876710	-86286.565444	-85402.625781	-85810.554600	
01410	-83741.750621	-85318.430856	-85255.741492	-84801.924510	-84996.523937	
01420	-81920.442942	-84220.050699	-84049.382095	-82709.246629	-83477.694815	
01430	-81653.113140	-83273.730992	-83130.609008	-82217.361960	-82874.506243	
01440	-80355.793435	-82271.365395	-82125.343005	-81190.065265	-81632.277091	
01450	-79429.407876	-81407.568813	-81334.985716	-80738.095454	-81149.408097	
01460	-78524.457861	-80395.636268	-80272.478929	-79306.242011	-79789.119353	
01470	-78098.064106	-79550.232257	-79518.640791	-78928.596494	-79367.611059	
01480	-76978.058110	-78561.310328	-78388.850923	-77392.313601	-77958.213219	
01490	-75645.722009	-77712.563806	-77577.209107	-76713.385416	-77454.393237	
01500	-74832.818154	-76790.174241	-76673.650966	-75656.019399	-76273.248148	
01510	-74460.240208	-75995.100970	-75999.375750	-75335.365521	-75855.853847	
01520	-73287.591881	-75065.807059	-74949.291001	-73929.629206	-74513.240892	
01530	-72404.453266	-74266.071781	-74145.140855	-73351.574547	-74009.230058	
01540	-71444.300707	-73395.088193	-73257.033178	-72273.668095	-72846.606583	
01550	-70798.975426	-72628.406222	-72547.295014	-71791.269967	-72401.245057	
01560	-70355.520698	-71742.424573	-71572.075035	-70681.206298	-71148.809225	
01570	-68980.782122	-70968.126093	-70808.262978	-70025.036218	-70649.722466	
01580	-68340.012981	-70114.996009	-69933.297024	-69033.701565	-69526.634779	
01590	-67573.579613	-69369.375182	-69260.707340	-68595.591606	-69100.783164	
01600	-66744.198994	-68493.392687	-68308.282288	-67395.558548	-67887.486865	
01610	-65796.689198	-67734.708057	-67563.689618	-66793.419536	-67414.328087	
01620	-65144.012175	-66887.695348	-66695.205291	-65808.919248	-66309.137934	
01630	-64276.205535	-66134.403990	-65972.630560	-65208.641281	-65847.508808	
01640	-63645.698187	-65288.647911	-65093.541552	-64231.143401	-64735.084645	
01650	-62771.693376	-64535.983966	-64370.598266	-63609.057125	-64259.734101	
01660	-62230.123819	-63704.213974	-63526.018447	-62686.729696	-63187.463237	
01670	-61366.647807	-62954.528858	-62803.608605	-62036.999761	-62692.554819	
01680	-60733.556818	-62132.221187	-61958.941309	-61135.888467	-61637.754765	
01690	-59842.083217	-61390.982503	-61234.297160	-60486.367198	-61139.916889	
01700	-59288.885210	-60579.472614	-60408.311279	-59619.448727	-60110.530019	
01710	-58542.533524	-59846.093026	-59689.073304	-58956.667199	-59605.656684	
01720	-57857.951580	-59048.008911	-58880.230463	-58117.474723	-58596.545033	
01730	-57095.391072	-58325.227633	-58167.051697	-57435.041404	-58083.501879	
01740	-56476.879992	-57539.737282	-57376.327585	-56633.908267	-57099.548071	
01750	-55711.479106	-56832.476492	-56674.238576	-55951.169666	-56584.888814	
01760	-55104.577120	-56062.098251	-55898.564719	-55182.848873	-55623.934501	
01770	-54356.625815	-55371.708983	-55213.241900	-54506.338998	-55110.761486	
01780	-53806.532471	-54616.718077	-54463.759227	-53780.784243	-54188.475841	
01790	-53074.638811	-53941.592963	-53795.992885	-53098.195891	-53684.190919	
01800	-52603.179900	-53208.227287	-53072.274966	-52427.439873	-52793.593629	
01810	-51796.762002	-52552.249804	-52421.276280	-51743.458576	-52299.582715	
01820	-51377.925382	-51839.214478	-51722.144760	-51115.211657	-51451.872738	
01830	-50677.683382	-51199.326749	-51102.823504	-50470.076926	-50995.165873	
01840	-50274.947501	-50514.570121	-50419.540490	-49855.373660	-50160.858613	
01850	-49508.654116	-49897.608205	-49825.508569	-49227.067703	-49720.140733	
01860	-49166.033248	-49236.192721	-49166.488192	-48646.593009	-48919.010494	
01870	-48408.001864	-48643.342878	-48598.501126	-48028.637269	-48492.983670	
01880	-48259.199154	-48010.599340	-47983.803706	-47542.403418	-47759.440579	
01890	-48033.771404	-47465.989607	-47529.960781	-47140.714237	-47422.143704	
01900	-46165.642418	-46859.874368	-46879.401399	-46585.137024	-46753.533690	
01910	-46323.061152	-46246.537385	-46249.524283	-45881.896683	-46013.677725	
01920	-46271.617648	-45736.057959	-45854.694477	-45561.690498	-45716.270369	
01930	-44231.619346	-45145.746156	-45154.310815	-44769.976006	-45019.533749	
01940	-45265.199278	-44592.075928	-44647.304308	-44353.327083	-44494.077590	
01950	-43385.748823	-44043.401488	-44079.844421	-43409.377949	-43856.128744	
01960	-42699.453075	-43523.520816	-43567.215359	-43129.346176	-43454.946178	
01970	-44027.818127	-43008.537021	-43116.011802	-43098.248931	-43031.281361	
01980	-41775.041518	-42413.346982	-42347.051747	-41764.739765	-42090.239148	
01990	-42125.586983	-41948.928215	-42018.105030	-41658.974929	-41863.911115	
02000	-40404.089344	-41410.651319	-41397.742684	-40988.328470	-41284.203017	
02010	-41832.209822	-40895.898639	-40926.149345	-40736.839398	-40829.964724	
02020	-39291.646599	-40328.795306	-40233.401836	-39557.796987	-40003.407616	
02030	-39729.416762	-39830.463464	-39782.814166	-39297.661800	-39606.538360	
02040	-38814.973706	-39319.773531	-39284.071913	-38899.496948	-39208.806073	
02050	-38011.118976	-38786.932735	-38708.100633	-38426.631604	-38628.037296	
02060	-39047.408781	-38257.041664	-38225.153054	-38103.223350	-38151.334956	
02070	-37682.518897	-37688.831111	-37588.569503	-37349.438184	-37466.308205	
02080	-36048.433380	-37115.486223	-36932.078645	-36329.165282	-36722.677071	
02090	-36179.485964	-36567.503375	-36399.983104	-35904.559757	-36219.869757	
02100	-35917.410208	-36025.345265	-35906.591425	-35609.881514	-35786.701750	
02110	-34397.042858	-35440.113377	-35262.140101	-34884.922763	-35162.386269	
02120	-33866.999328	-34847.657602	-34639.088770	-34355.868967	-34535.314996	
02130	-34477.192642	-34267.112192	-34113.514814	-34069.809563	-34032.364723	
02140	-33661.506131	-33634.708778	-33416.613235	-33236.369794	-33297.905331	
02150	-32267.441327	-32993.595662	-32714.805022	-32349.224826	-32512.288556	
02160	-31615.378615	-32375.742057	-32092.520453	-31648.043685	-31886.903027	
02170	-31384.824217	-31763.392765	-31512.387626	-31233.928140	-31342.046292	
02180	-30462.438568	-31129.773174	-30869.598288	-30617.853393	-30728.547610	
02190	-29371.037594	-30485.910739	-30181.263795	-29894.243271	-30038.194824	
02200	-28779.596327	-29851.472116	-29540.320729	-29321.201508	-29402.727498	
02210	-28689.967433	-29221.355346	-28934.893556	-28847.738482	-28811.415397	
02220	-28443.812872	-28590.876605	-28321.429459	-28300.608290	-28205.917852	
02230	-27851.862597	-27950.080813	-27663.442846	-27608.990783	-27535.444703	
02240	-26899.249163	-27316.254080	-27007.148807	-26849.244125	-26844.515899	
