step	btrunk	carotid	inflow	outflow	subclavian	
00920	23.086320	7.460166	-116.857816	71.498938	14.812353	
00930	22.091782	7.179239	-112.395313	68.841527	14.282723	
00940	21.097930	6.897500	-107.922464	66.175411	13.751577	
00950	20.105330	6.615069	-103.441918	63.502336	13.219131	
00960	19.114242	6.332125	-98.956318	60.824224	12.685678	
00970	18.125035	6.048915	-94.468839	58.143137	12.151699	
00980	17.138624	5.765737	-89.983393	55.461230	11.617746	
00990	16.155305	5.482757	-85.502639	52.780426	11.084093	
01000	15.175530	5.200138	-81.029230	50.102447	10.551057	
01010	14.199671	4.918069	-76.565817	47.429118	10.018899	
01020	13.228080	4.636727	-72.115043	44.762306	9.487868	
01030	12.263662	4.356733	-67.684456	42.104808	8.959191	
01040	11.305265	4.077972	-63.273522	39.457626	8.432597	
01050	10.353265	3.800607	-58.884846	36.822551	7.908361	
01060	9.408012	3.524792	-54.521028	34.201435	7.386728	
01070	8.469930	3.250689	-50.184653	31.596033	6.867944	
01080	7.539335	2.978426	-45.878291	29.008302	6.352172	
01090	6.621374	2.709007	-41.613698	26.441812	5.841450	
01100	5.712777	2.441901	-37.385886	23.896465	5.334690	
01110	4.813961	2.177238	-33.197355	21.373991	4.832114	
01120	3.925308	1.915138	-29.050581	18.876150	4.333935	
01130	3.047200	1.655728	-24.948021	16.404709	3.840336	
01140	2.180038	1.399104	-20.892111	13.961464	3.351459	
01150	1.331188	1.146622	-16.898519	11.550534	2.870131	
01160	0.495442	0.897370	-12.957932	9.170570	2.394510	
01170	-0.326693	0.651490	-9.072677	6.823027	1.924816	
01180	-1.134730	0.409125	-5.245052	4.509394	1.461228	
01190	-1.928202	0.170428	-1.477326	2.231165	1.003903	
01200	-2.706704	-0.064431	2.228262	-0.010102	0.552948	
01210	-3.461011	-0.293643	5.852519	-2.209809	0.111924	
01220	-4.198511	-0.518327	9.408849	-4.370333	-0.321694	
01230	-4.919284	-0.738235	12.895159	-6.490034	-0.747614	
01240	-5.623832	-0.953124	16.309385	-8.566874	-1.165559	
01250	-6.313022	-1.162715	19.649504	-10.598466	-1.575299	
01260	-6.987683	-1.366783	22.913526	-12.582330	-1.976724	
01270	-7.637427	-1.563300	26.079206	-14.512816	-2.365652	
01280	-8.271030	-1.753948	29.163712	-16.393423	-2.745296	
01290	-8.887487	-1.938755	32.165231	-18.223559	-3.115412	
01300	-9.485808	-2.117766	35.081990	-20.002671	-3.475724	
01310	-10.065315	-2.291082	37.912256	-21.729860	-3.825979	
01320	-10.625916	-2.458865	40.654342	-23.403601	-4.165939	
01330	-11.155851	-2.619152	43.283496	-25.017718	-4.490754	
01340	-11.666467	-2.774664	45.820226	-26.574512	-4.804445	
01350	-12.159380	-2.924372	48.263047	-28.072560	-5.106608	
01360	-12.635549	-3.068965	50.610518	-29.508356	-5.397528	
01370	-13.095898	-3.208260	52.861241	-30.879626	-5.677335	
01380	-13.540458	-3.341920	55.013870	-32.184928	-5.946437	
01390	-13.954883	-3.466658	57.041758	-33.419919	-6.200205	
01400	-14.348251	-3.585240	58.968252	-34.590849	-6.443840	
01410	-14.717532	-3.697389	60.792224	-35.699998	-6.677245	
01420	-15.059774	-3.803645	62.512603	-36.749123	-6.899994	
01430	-15.374097	-3.904453	64.128365	-37.738635	-7.111112	
01440	-15.662214	-3.999929	65.638534	-38.666779	-7.309537	
01450	-15.913474	-4.087220	67.015224	-39.525405	-7.489050	
01460	-16.144298	-4.168374	68.284041	-40.317151	-7.654139	
01470	-16.356757	-4.243120	69.444254	-41.038987	-7.805264	
01480	-16.551117	-4.311193	70.495181	-41.689387	-7.943371	
01490	-16.726014	-4.372302	71.436193	-42.268268	-8.069497	
01500	-16.879047	-4.426328	72.266713	-42.776679	-8.184548	
01510	-16.993056	-4.470574	72.958309	-43.211200	-8.283380	
01520	-17.080210	-4.507591	73.538211	-43.579526	-8.370803	
01530	-17.140694	-4.537647	74.006097	-43.881409	-8.446294	
01540	-17.175236	-4.561167	74.361694	-44.115928	-8.509296	
01550	-17.184135	-4.578526	74.604785	-44.282676	-8.559396	
01560	-17.167447	-4.589814	74.735213	-44.381587	-8.596301	
01570	-17.110960	-4.592254	74.724677	-44.407357	-8.614067	
01580	-17.029467	-4.588263	74.601382	-44.366025	-8.617607	
01590	-16.923857	-4.577799	74.365418	-44.256587	-8.607151	
01600	-16.794478	-4.560739	74.016928	-44.078480	-8.583138	
01610	-16.641487	-4.536938	73.556115	-43.831685	-8.546021	
01620	-16.465021	-4.506242	72.983233	-43.515828	-8.496170	
01630	-16.251029	-4.465837	72.270835	-43.125742	-8.428232	
01640	-16.013860	-4.418193	71.447379	-42.668018	-8.347321	
01650	-15.753934	-4.363399	70.513374	-42.142564	-8.253494	
01660	-15.471577	-4.301620	69.469379	-41.549395	-8.146810	
01670	-15.167162	-4.233012	68.316008	-40.888511	-8.027354	
01680	-14.841029	-4.157785	67.053925	-40.159780	-7.895359	
01690	-14.479284	-4.073511	65.657201	-39.358689	-7.745750	
01700	-14.095118	-3.982757	64.153862	-38.492375	-7.583647	
01710	-13.688438	-3.885577	62.544817	-37.561608	-7.409229	
01720	-13.259350	-3.782005	60.831025	-36.567100	-7.222605	
01730	-12.808153	-3.672043	59.013496	-35.509445	-7.023887	
01740	-12.335252	-3.555789	57.093290	-34.388991	-6.813293	
01750	-11.827990	-3.430912	55.046626	-33.201733	-6.586023	
01760	-11.299406	-3.299748	52.900422	-31.954446	-6.346853	
01770	-10.750036	-3.162498	50.655957	-30.647444	-6.096007	
01780	-10.180437	-3.019160	48.314566	-29.281359	-5.833639	
01790	-9.591022	-2.869751	45.877632	-27.856916	-5.559967	
01800	-8.981979	-2.714175	43.346581	-26.375252	-5.275164	
01810	-8.342889	-2.550979	40.700385	-24.831245	-4.975260	
01820	-7.685289	-2.382082	37.964158	-23.232351	-4.664420	
01830	-7.009335	-2.207640	35.139537	-21.579538	-4.343006	
01840	-6.315917	-2.027606	32.228200	-19.873399	-4.011262	
01850	-5.605296	-1.842197	29.231865	-18.114921	-3.669436	
01860	-4.877893	-1.651534	26.152294	-16.305041	-3.317815	
01870	-4.123864	-1.453902	22.971717	-14.441180	-2.952761	
01880	-3.353874	-1.251295	19.712847	-12.529435	-2.578233	
01890	-2.568384	-1.043834	16.377624	-10.570921	-2.194473	
01900	-1.767896	-0.831691	12.968027	-8.566667	-1.801745	
01910	-0.952923	-0.615013	9.486073	-6.517777	-1.400331	
01920	-0.123986	-0.393987	5.933811	-4.425322	-0.990486	
01930	0.726732	-0.167217	2.297171	-2.287450	-0.569204	
01940	1.589944	0.063512	-1.404101	-0.109437	-0.139883	
01950	2.464264	0.297437	-5.167803	2.109211	0.296888	
01960	3.350784	0.535033	-8.991703	4.364234	0.741655	
01970	4.248365	0.775640	-12.873540	6.655948	1.193595	
01980	5.156443	1.019037	-16.811025	8.983166	1.652392	
01990	6.080904	1.266197	-20.814182	11.346868	2.120233	
02000	7.014252	1.515739	-24.866717	13.742431	2.594319	
02010	7.955813	1.767566	-28.966222	16.168541	3.074331	
02020	8.904960	2.021606	-33.110269	18.623788	3.559948	
02030	9.861172	2.277804	-37.296407	21.106643	4.050824	
02040	10.824099	2.536121	-41.522160	23.615470	4.546509	
02050	11.797934	2.797314	-45.793263	26.150012	5.048045	
02060	12.777846	3.060444	-50.097273	28.706198	5.552831	
02070	13.764078	3.325259	-54.431639	31.282334	6.060017	
02080	14.757093	3.591161	-58.793793	33.876466	6.569126	
02090	15.757043	3.857390	-63.181152	36.486380	7.080390	
02100	16.763074	4.123597	-67.591121	39.109955	7.594546	
02110	17.776147	4.390698	-72.025001	41.745229	8.112980	
02120	18.793290	4.659129	-76.474511	44.387306	8.634834	
02130	19.816903	4.929181	-80.937012	47.031369	9.159609	
02140	20.852565	5.200399	-85.409861	49.671436	9.685509	
02150	21.907203	5.472555	-89.890410	52.301269	10.209431	
02160	22.985342	5.746294	-94.376007	54.916004	10.728414	
02170	24.085406	6.023153	-98.863488	57.513562	11.241413	
02180	25.195847	6.305693	-103.348934	60.096550	11.750887	
02190	26.300810	6.594420	-107.829688	62.671472	12.263025	
02200	27.387043	6.885499	-112.303096	65.243348	12.787218	
02210	28.437709	7.169900	-116.766508	67.835948	13.322970	
02220	29.469308	7.449559	-121.217287	70.430960	13.867477	
02230	30.487946	7.727588	-125.647871	73.024266	14.408087	
02240	31.502731	8.005315	-130.058806	75.612180	14.938595	
