step	btrunk	carotid	inflow	outflow	subclavian	
00930	206600.568218	205712.493879	205998.198220	206252.525078	205964.769618	
00940	205655.767864	204832.272506	205075.867264	205375.980717	205067.275662	
00950	204668.434523	203907.140251	204111.129428	204454.327771	204125.492310	
00960	203639.078210	202937.662938	203101.648678	203488.103567	203139.977015	
00970	202568.296349	201924.451375	202050.351872	202477.931177	202111.419746	
00980	201456.783103	200868.263324	200957.626282	201424.449023	201040.601239	
00990	200305.114397	199769.716787	199824.089914	200328.309389	199928.126154	
01000	199113.928299	198629.441454	198650.381108	199190.168112	198774.653464	
01010	197883.874322	197448.145279	197437.273925	198010.724965	197580.832808	
01020	196615.719925	196226.625078	196182.872778	196790.736519	196347.434444	
01030	195310.692562	194966.094392	194892.865876	195531.058629	195075.763004	
01040	193969.155747	193666.997089	193565.746576	194232.382356	193766.193113	
01050	192591.856676	192330.129899	192202.294054	192895.520681	192419.495157	
01060	191179.559674	190956.302925	190803.302128	191521.327859	191036.442589	
01070	189733.076451	189546.368780	189369.856048	190110.670089	189617.833446	
01080	188253.408407	188101.318254	187897.292975	188664.512396	188164.643436	
01090	186742.340435	186622.867939	186397.306191	187183.943237	186678.763460	
01100	185199.882087	185111.157846	184865.401495	185669.693014	185160.159072	
01110	183626.935123	183567.091644	183302.483362	184122.733890	183609.706844	
01120	182024.421204	181991.595603	181709.451593	182544.069127	182028.292725	
01130	180393.283864	180385.615417	180087.658684	180934.730291	180416.800983	
01140	178734.792695	178750.328953	178429.694526	179295.837999	178776.426987	
01150	177051.286517	177087.880075	176753.016478	177628.666416	177109.610553	
01160	175342.467400	175398.116496	175050.211753	175933.942802	175415.935643	
01170	173609.397496	173682.098636	173322.292009	174212.740429	173696.399218	
01180	171853.155249	171940.911081	171570.308062	172466.155788	171951.985281	
01190	170074.842874	170175.668814	169795.952084	170695.286230	170183.665525	
01200	168275.970029	168387.794226	167989.393059	168901.296176	168392.803851	
01210	166459.359334	166579.841143	166173.520250	167085.487259	166582.308833	
01220	164624.352310	164751.277764	164338.310887	165248.498807	164751.384259	
01230	162772.016994	162903.390496	162484.965678	163391.497254	162901.133891	
01240	160903.285799	161037.621148	160614.683309	161515.786444	161032.666394	
01250	159018.977569	159155.548568	158729.306361	159622.776129	159147.080122	
01260	157120.375585	157259.158522	156816.685522	157714.034066	157245.996115	
01270	155210.415557	155351.664575	154904.305499	155791.208698	155332.840654	
01280	153288.068374	153432.490851	152979.494856	153854.970597	153406.546443	
01290	151354.654205	151502.870604	151043.242885	151906.522104	151468.406214	
01300	149411.545234	149563.981610	149096.696709	149947.101048	149519.764972	
01310	147460.064176	147616.916576	147141.963041	147977.977656	147561.976097	
01320	145501.953998	145663.108950	145165.393884	146000.594434	145597.002370	
01330	143540.525497	143705.427697	143198.673806	144016.716544	143628.805687	
01340	141573.906056	141741.992684	141213.393823	142026.763767	141655.696069	
01350	139603.457017	139774.855900	139239.409667	140033.404053	139679.463302	
01360	137629.652082	137804.389849	137263.749912	138037.740018	137700.931480	
01370	135653.213994	135831.901626	135287.851992	136041.360176	135721.210747	
01380	133675.698601	133859.466214	133296.513432	134045.916392	133741.811821	
01390	131701.137447	131891.729054	131336.445397	132053.503552	131766.459769	
01400	129728.037751	129926.527805	129368.336721	130063.749903	129792.328456	
01410	127758.777584	127965.599287	127402.865149	128078.028551	127820.671771	
01420	125795.578904	126009.487728	125439.796987	126097.284905	125852.884419	
01430	123840.223939	124058.635604	123486.843709	124122.599764	123890.843263	
01440	121894.426727	122114.535517	121520.681980	122155.478951	121937.370549	
01450	119961.172296	120180.889361	119584.838031	120197.938666	119997.420195	
01460	118037.609854	118256.580819	117661.090104	118250.999150	118069.365316	
01470	116124.178015	116343.139279	115750.828712	116316.378484	116154.206879	
01480	114221.761730	114442.130828	113853.770010	114395.601447	114252.474597	
01490	112331.721065	112555.168120	111975.923532	112489.991486	112364.512647	
01500	110456.525228	110684.336813	110092.128534	110600.818119	110491.454968	
01510	108600.779007	108833.316238	108246.619309	108729.460463	108637.027064	
01520	106763.013654	107000.505527	106419.145389	106876.164872	106798.995669	
01530	104944.539585	105186.798911	104611.474833	105042.127078	104978.827459	
01540	103146.477409	103392.809331	102823.462821	103228.644374	103178.068158	
01550	101370.016164	101619.086668	101060.841557	101436.929792	101398.204806	
01560	99617.144066	99867.189012	99298.704272	99668.284651	99641.425090	
01570	97891.663428	98140.632100	97583.547405	97924.252666	97912.254322	
01580	96191.269229	96437.778573	95894.938871	96205.258012	96208.607033	
01590	94516.878456	94759.747192	94233.806044	94512.573128	94531.519633	
01600	92869.530007	93107.776569	92600.024400	92847.405864	92881.819573	
01610	91250.288492	91483.113142	90999.396515	91210.869283	91260.259962	
01620	89660.951445	89887.721935	89406.861477	89604.260808	89668.420174	
01630	88105.101960	88325.252747	87867.253860	88029.062368	88110.207117	
01640	86580.395267	86794.082545	86359.346589	86485.574199	86583.191711	
01650	85087.744589	85295.225759	84884.285446	84974.872149	85088.367625	
01660	83628.072888	83829.557215	83442.165360	83498.001922	83626.720808	
01670	82202.259826	82397.903245	82038.689551	82055.993291	82199.197516	
01680	80811.860313	81001.618746	80649.670407	80650.017576	80807.362991	
01690	79460.319197	79643.729675	79318.725201	79281.391780	79454.884582	
01700	78145.487379	78322.279651	78025.367783	77950.236410	78139.211565	
01710	76868.343540	77038.125734	76770.488310	76657.391186	76861.127114	
01720	75629.810648	75792.144367	75553.914711	75403.675704	75621.459024	
01730	74430.733041	74585.209835	74380.938284	74189.899654	74421.011593	
01740	73272.541919	73418.661765	73228.452199	73017.006002	73261.194116	
01750	72158.351930	72295.353340	72137.345589	71886.112678	72145.405546	
01760	71085.936453	71213.432631	71088.069385	70797.255964	71071.227029	
01770	70055.983452	70173.644208	70081.525581	69751.141955	70039.322474	
01780	69069.145235	69176.726725	69117.266747	68748.486663	69050.365347	
01790	68126.059939	68223.422234	68199.548277	67789.942769	68104.947340	
01800	67227.629060	67314.512879	67327.652668	66876.132075	67204.008184	
01810	66376.976012	66452.911695	66499.519927	66008.382494	66350.866023	
01820	65571.716032	65636.590773	65716.971440	65186.390109	65543.060146	
01830	64812.396227	64866.090571	64980.935704	64410.723825	64781.031071	
01840	64099.473083	64141.961818	64290.474584	63681.866313	64065.259428	
01850	63433.434852	63464.671000	63646.625408	63000.307085	63396.155587	
01860	62815.204537	62835.049431	63036.937161	62366.589703	62774.602651	
01870	62247.038046	62255.122989	62489.368906	61781.394959	62203.058333	
01880	61726.920612	61723.180902	61989.063008	61244.507151	61679.357759	
01890	61255.194038	61239.564527	61537.300083	60756.265182	61203.816817	
01900	60832.183156	60804.574539	61132.509761	60316.987705	60776.724089	
01910	60458.173312	60418.479924	60775.503353	59926.969677	60398.324050	
01920	60133.805542	60081.781856	60456.572497	59586.538903	60069.256785	
01930	59860.816266	59795.954935	60198.309609	59296.138879	59791.454003	
01940	59637.420394	59559.389096	59988.543614	59055.522621	59563.011694	
01950	59463.901702	59372.240663	59799.066265	58865.228577	59384.238060	
01960	59340.102431	59234.554207	59686.359315	58725.053217	59255.321872	
01970	59266.292582	59146.257486	59623.271181	58635.421655	59176.389538	
01980	59242.807356	59107.473473	59601.678554	58596.482391	59147.814607	
01990	59270.773451	59119.083460	59639.037348	58608.456904	59170.927961	
02000	59348.520650	59179.576715	59725.580021	58670.985664	59244.029500	
02010	59475.935899	59288.853492	59861.271560	58784.067905	59367.057763	
02020	59652.878896	59446.828770	60046.248816	58947.655432	59539.914239	
02030	59879.203398	59653.427289	60280.894607	59161.645718	59762.447894	
02040	60154.981443	59908.746756	60559.496148	59425.928060	60034.620818	
02050	60480.837616	60213.405183	60894.104016	59740.403522	60356.842120	
02060	60855.557531	60566.322429	61277.614762	60104.569310	60727.237654	
02070	61279.193903	60967.146646	61709.852100	60518.170073	61145.023572	
02080	61751.913031	61414.983771	62190.545643	60980.879146	61609.619225	
02090	62273.727981	61908.575421	62719.561412	61492.267902	62120.979640	
02100	62844.424288	62447.186832	63293.856031	62051.954470	62679.659268	
02110	63463.878202	63031.436733	63919.790551	62659.409088	63286.404585	
02120	64131.179031	63661.782011	64592.886963	63313.744846	63940.571834	
02130	64846.843290	64338.555514	65312.235430	64013.972349	64641.642817	
02140	65612.419647	65061.064422	66076.944598	64758.846836	65388.003509	
02150	66430.150031	65828.793263	66886.155820	65546.953786	66176.844535	
02160	67301.976114	66642.382460	67738.582885	66376.974530	67005.161501	
02170	68228.258904	67503.764939	68634.579963	67247.906203	67871.131013	
02180	69206.372944	68416.720384	69573.390982	68159.400221	68775.765598	
02190	70231.814179	69382.785443	70555.960835	69111.768591	69723.398122	
02200	71298.181658	70395.831119	71671.350085	70105.019016	70720.342677	
02210	72404.129163	71447.809028	72657.551880	71142.295176	71771.028292	
02220	73547.613485	72535.148294	73777.404079	72221.645474	72870.600466	
02230	74730.056357	73662.539256	74937.059967	73341.724349	74010.047901	
02240	75953.106181	74831.295193	76137.969239	74501.594025	75183.102737	
